line_id,period,metric,value
50,2020-Q1,quantity_index,126.722000
51,2020-Q1,quantity_index,89.274000
52,2020-Q1,quantity_index,106.951000
53,2020-Q1,quantity_index,147.550000
55,2020-Q1,quantity_index,99.858000
56,2020-Q1,quantity_index,102.922000
57,2020-Q1,quantity_index,88.607000
58,2020-Q1,quantity_index,102.872000
59,2020-Q1,quantity_index,4.639000
60,2020-Q1,quantity_index,106.729000
61,2020-Q1,quantity_index,105.511000
64,2020-Q1,quantity_index,120.494000
66,2020-Q1,quantity_index,114.618000
67,2020-Q1,quantity_index,98.032000
69,2020-Q1,quantity_index,114.043000
68,2020-Q1,quantity_index,131.104000
70,2020-Q1,quantity_index,114.698000
71,2020-Q1,quantity_index,106.812000
72,2020-Q1,quantity_index,107.567000
73,2020-Q1,quantity_index,99.384000
74,2020-Q1,quantity_index,106.180000
75,2020-Q1,quantity_index,103.461000
76,2020-Q1,quantity_index,106.638000
77,2020-Q1,quantity_index,108.447000
78,2020-Q1,quantity_index,103.829000
79,2020-Q1,quantity_index,103.720000
80,2020-Q1,quantity_index,110.557000
81,2020-Q1,quantity_index,96.392000
82,2020-Q1,quantity_index,101.148000
83,2020-Q1,quantity_index,106.147000
84,2020-Q1,quantity_index,94.136000
85,2020-Q1,quantity_index,94.705000
86,2020-Q1,quantity_index,99.193000
87,2020-Q1,quantity_index,93.085000
88,2020-Q1,quantity_index,101.029000
54,2020-Q1,quantity_index,104.128000
1,2020-Q1,quantity_index,105.594000
65,2020-Q1,quantity_index,112.663000
2,2020-Q1,quantity_index,105.984000
3,2020-Q2,quantity_index,90.922000
4,2020-Q2,quantity_index,87.261000
5,2020-Q2,quantity_index,104.096000
6,2020-Q2,quantity_index,113.329000
7,2020-Q2,quantity_index,135.512000
8,2020-Q2,quantity_index,104.564000
9,2020-Q2,quantity_index,81.558000
10,2020-Q2,quantity_index,105.509000
11,2020-Q2,quantity_index,98.331000
26,2020-Q2,quantity_index,87.789000
27,2020-Q2,quantity_index,75.235000
28,2020-Q2,quantity_index,93.883000
12,2020-Q2,quantity_index,92.986000
25,2020-Q2,quantity_index,97.481000
14,2020-Q2,quantity_index,96.408000
29,2020-Q2,quantity_index,117.733000
30,2020-Q2,quantity_index,79.194000
31,2020-Q2,quantity_index,81.358000
32,2020-Q2,quantity_index,111.650000
33,2020-Q2,quantity_index,90.589000
15,2020-Q2,quantity_index,96.192000
16,2020-Q2,quantity_index,111.910000
17,2020-Q2,quantity_index,85.396000
18,2020-Q2,quantity_index,87.114000
19,2020-Q2,quantity_index,108.421000
20,2020-Q2,quantity_index,87.415000
21,2020-Q2,quantity_index,55.852000
22,2020-Q2,quantity_index,85.364000
23,2020-Q2,quantity_index,86.764000
24,2020-Q2,quantity_index,95.224000
13,2020-Q2,quantity_index,89.520000
34,2020-Q2,quantity_index,94.767000
36,2020-Q2,quantity_index,96.155000
37,2020-Q2,quantity_index,107.040000
35,2020-Q2,quantity_index,98.002000
38,2020-Q2,quantity_index,100.020000
41,2020-Q2,quantity_index,33.755000
42,2020-Q2,quantity_index,77.178000
43,2020-Q2,quantity_index,83.792000
44,2020-Q2,quantity_index,91.403000
45,2020-Q2,quantity_index,81.797000
46,2020-Q2,quantity_index,76.569000
47,2020-Q2,quantity_index,110.732000
40,2020-Q2,quantity_index,84.562000
48,2020-Q2,quantity_index,121.219000
39,2020-Q2,quantity_index,95.873000
49,2020-Q2,quantity_index,117.293000
50,2020-Q2,quantity_index,127.905000
51,2020-Q2,quantity_index,69.420000
52,2020-Q2,quantity_index,108.299000
53,2020-Q2,quantity_index,147.825000
55,2020-Q2,quantity_index,102.429000
56,2020-Q2,quantity_index,103.671000
57,2020-Q2,quantity_index,101.517000
58,2020-Q2,quantity_index,102.368000
59,2020-Q2,quantity_index,2.465000
60,2020-Q2,quantity_index,104.037000
61,2020-Q2,quantity_index,104.588000
64,2020-Q2,quantity_index,97.207000
66,2020-Q2,quantity_index,107.908000
67,2020-Q2,quantity_index,92.928000
69,2020-Q2,quantity_index,104.937000
68,2020-Q2,quantity_index,130.047000
70,2020-Q2,quantity_index,113.126000
71,2020-Q2,quantity_index,92.611000
72,2020-Q2,quantity_index,92.775000
73,2020-Q2,quantity_index,90.772000
74,2020-Q2,quantity_index,92.070000
75,2020-Q2,quantity_index,91.692000
76,2020-Q2,quantity_index,92.130000
77,2020-Q2,quantity_index,86.581000
78,2020-Q2,quantity_index,97.398000
79,2020-Q2,quantity_index,98.861000
80,2020-Q2,quantity_index,93.226000
81,2020-Q2,quantity_index,53.331000
82,2020-Q2,quantity_index,47.353000
83,2020-Q2,quantity_index,49.684000
84,2020-Q2,quantity_index,44.079000
85,2020-Q2,quantity_index,55.392000
86,2020-Q2,quantity_index,47.056000
87,2020-Q2,quantity_index,58.295000
88,2020-Q2,quantity_index,81.998000
54,2020-Q2,quantity_index,103.436000
1,2020-Q2,quantity_index,97.277000
65,2020-Q2,quantity_index,104.751000
2,2020-Q2,quantity_index,97.044000
3,2020-Q3,quantity_index,103.033000
4,2020-Q3,quantity_index,100.340000
5,2020-Q3,quantity_index,115.353000
6,2020-Q3,quantity_index,112.343000
7,2020-Q3,quantity_index,129.785000
8,2020-Q3,quantity_index,107.134000
9,2020-Q3,quantity_index,81.765000
10,2020-Q3,quantity_index,108.614000
