line_id,year,quarter,employment_thousands,avg_hourly_earnings,avg_weekly_earnings,period,employment_thousands_growth,avg_hourly_earnings_growth,avg_weekly_earnings_growth
25,2021,3,4680.666666666667,27.386666666666667,1101.8566666666666,2021-Q3,0.007895492391616576,0.011200000000000099,0.012050664225508934
25,2021,4,4739.333333333333,27.69333333333333,1110.5033333333333,2021-Q4,0.012533827090158045,0.011197663096397248,0.00784736066699554
25,2022,1,4789.333333333333,27.99,1119.6066666666666,2022-Q1,0.010550007033337971,0.010712566201251716,0.00819748402376086
25,2022,2,4844.666666666667,28.17,1121.1666666666667,2022-Q2,0.011553452115812934,0.00643086816720273,0.0013933464728685951
25,2022,3,4869.333333333333,28.396666666666665,1128.2933333333333,2022-Q3,0.005091509563781349,0.008046385043189996,0.006356473911104388
25,2022,4,4876.333333333333,28.74,1137.1233333333332,2022-Q4,0.001437568455640692,0.012090620964902099,0.007825979059818966
25,2023,1,4864.333333333333,29.19666666666667,1157.16,2023-Q1,-0.0024608654043338785,0.015889584783113087,0.017620486783902267
25,2023,2,4854.666666666667,29.563333333333333,1160.8333333333333,2023-Q2,-0.0019872541629547547,0.012558511245575943,0.003174438567988158
25,2023,3,4837.333333333333,29.97,1171.83,2023-Q3,-0.00357044767920911,0.013755778554515707,0.00947307968413491
25,2023,4,4844.0,30.136666666666667,1180.3433333333332,2023-Q4,0.001378169790518191,0.005561116672227806,0.007264990086730538
25,2024,1,4847.666666666667,30.233333333333334,1184.14,2024-Q1,0.0007569501789155275,0.003207609777679421,0.0032165782272390864
25,2024,2,4845.0,30.473333333333333,1200.6533333333334,2024-Q2,-0.000550092828164761,0.007938257993384656,0.013945423120014011
25,2024,3,4841.666666666667,30.766666666666666,1207.0833333333333,2024-Q3,-0.0006879944960439532,0.009625902428352706,0.005355417605970025
25,2024,4,4820.333333333333,30.986666666666668,1218.8133333333333,2024-Q4,-0.004406196213425306,0.007150595882990274,0.009717638936831197
25,2025,1,4813.0,31.336666666666662,1234.6666666666667,2025-Q1,-0.0015213332411312397,0.011295180722891374,0.013007187318812896
25,2025,2,4806.0,31.623333333333335,1241.7433333333336,2025-Q2,-0.001454394348639143,0.009147962982661628,0.005731641468682547
25,2025,3,4795.0,31.849999999999998,1252.7633333333333,2025-Q3,-0.002288805659592219,0.007167703172762607,0.008874619822131669
25,2025,4,4790.666666666667,32.343333333333334,1267.8666666666666,2025-Q4,-0.0009037191518942445,0.015489272632129847,0.012056014836534734
25,2026,1,4775.0,32.64666666666667,1294.9866666666667,2026-Q1,-0.003270247703868745,0.009378542718746719,0.021390261857187953
